Month,Geothermal Energy Consumed by the Residential Sector,Solar Energy Consumed by the Residential Sector,Wood Energy Consumed by the Residential Sector,Total Renewable Energy Consumed by the Residential Sector,Hydroelectric Power Consumed by the Commercial Sector,Geothermal Energy Consumed by the Commercial Sector,Solar Energy Consumed by the Commercial Sector,Wind Energy Consumed by the Commercial Sector,Wood Energy Consumed by the Commercial Sector,Waste Energy Consumed by the Commercial Sector,"Fuel Ethanol, Excluding Denaturant, Consumed by the Commercial Sector",Biomass Energy Consumed by the Commercial Sector,Total Renewable Energy Consumed by the Commercial Sector,Hydroelectric Power Consumed by the Industrial Sector,Geothermal Energy Consumed by the Industrial Sector,Solar Energy Consumed by the Industrial Sector,Wind Energy Consumed by the Industrial Sector,Wood Energy Consumed by the Industrial Sector,Waste Energy Consumed by the Industrial Sector,"Fuel Ethanol, Excluding Denaturant, Consumed by the Industrial Sector",Biomass Losses and Co-products in the Industrial Sector,Biomass Energy Consumed by the Industrial Sector,Total Renewable Energy Consumed by the Industrial Sector,"Fuel Ethanol, Excluding Denaturant, Consumed by the Transportation Sector",Biodiesel Consumed by the Transportation Sector,Biomass Energy Consumed by the Transportation Sector,Conventional Hydroelectric Power Consumed by the Electric Power Sector,Geothermal Energy Consumed by the Electric Power Sector,Solar Energy Consumed by the Electric Power Sector,Wind Energy Consumed by the Electric Power Sector,Wood Energy Consumed by the Electric Power Sector,Waste Energy Consumed by the Electric Power Sector,Biomass Energy Consumed by the Electric Power Sector,Total Renewable Energy Consumed by the Electric Power Sector
2000 January,0.728,3.126,35.574,39.428,0.094,0.644,0.031,No Data Reported,6.025,3.856,0.032,9.913,10.681,3.879,0.373,0.007,No Data Reported,110.736,12.182,0.107,8.227,131.251,135.51,11.348,Not Available,11.348,254.545,12.979,0.093,6.583,8.373,25.983,34.356,308.555
2000 February,0.681,3.37,33.279,37.33,0.083,0.602,0.033,No Data Reported,5.668,4.001,0.026,9.696,10.414,3.442,0.349,0.007,No Data Reported,135.08,11.688,0.089,7.767,154.624,158.421,9.412,Not Available,9.412,225.83,11.974,0.216,7.201,11.232,26.963,38.195,283.415
2000 March,0.728,4.643,35.574,40.945,0.099,0.644,0.045,No Data Reported,6.057,4.56,0.032,10.65,11.437,4.087,0.373,0.01,No Data Reported,142.302,12.704,0.109,8.296,163.411,167.881,11.537,Not Available,11.537,268.21,12.103,0.279,3.571,11.781,30.73,42.51,326.674
2000 April,0.705,5.117,34.426,40.249,0.105,0.623,0.05,No Data Reported,5.86,4.544,0.028,10.431,11.21,4.361,0.361,0.011,No Data Reported,135.61,12.391,0.094,8.501,156.596,161.329,9.988,Not Available,9.988,286.157,12.679,0.376,3.367,11.174,30.619,41.793,344.372
2000 May,0.728,5.649,35.574,41.952,0.101,0.644,0.055,No Data Reported,6.047,4.879,0.032,10.957,11.757,4.197,0.373,0.012,No Data Reported,131.749,12.94,0.108,8.496,153.293,157.875,11.441,Not Available,11.441,275.42,12.14,0.558,4.163,10.641,32.875,43.517,335.799
2000 June,0.705,5.7,34.426,40.831,0.093,0.623,0.056,No Data Reported,5.842,3.926,0.024,9.792,10.564,3.855,0.361,0.012,No Data Reported,118.167,11.933,0.082,7.518,137.7,141.928,8.683,Not Available,8.683,252.964,11.874,0.594,4.56,9.291,26.454,35.745,305.738
2000 July,0.728,5.984,35.574,42.286,0.089,0.644,0.059,No Data Reported,6.053,4.105,0.03,10.188,10.979,3.694,0.373,0.013,No Data Reported,138.327,12.367,0.1,8.471,159.264,163.343,10.646,Not Available,10.646,242.372,12.238,0.841,3.876,11.352,27.659,39.011,298.338
2000 August,0.728,5.922,35.574,42.224,0.081,0.644,0.058,No Data Reported,6.056,3.93,0.033,10.019,10.802,3.365,0.373,0.013,No Data Reported,141.327,12.237,0.111,7.513,161.187,164.937,11.746,Not Available,11.746,220.782,12.258,0.677,3.84,11.675,26.482,38.157,275.714
2000 September,0.705,5.401,34.426,40.532,0.066,0.623,0.053,No Data Reported,5.854,3.752,0.03,9.636,10.378,2.725,0.361,0.012,No Data Reported,129.924,11.804,0.102,7.967,149.797,152.894,10.807,Not Available,10.807,178.793,10.283,0.629,3.391,10.56,25.282,35.842,228.938
2000 October,0.728,4.923,35.574,41.225,0.063,0.644,0.048,No Data Reported,6.067,4.046,0.036,10.149,10.904,2.631,0.373,0.011,No Data Reported,151.706,12.323,0.122,8.804,172.955,175.969,12.955,Not Available,12.955,172.621,11.092,0.41,4.197,12.796,27.264,40.06,228.379
2000 November,0.705,4.038,34.426,39.169,0.071,0.623,0.04,No Data Reported,5.872,3.728,0.036,9.635,10.369,2.933,0.361,0.009,No Data Reported,147.994,11.786,0.121,8.465,168.367,171.669,12.842,Not Available,12.842,192.456,11.695,0.204,8.396,12.511,25.118,37.629,250.379
2000 December,0.728,3.833,35.574,40.135,0.073,0.644,0.038,No Data Reported,6.068,1.93,0.038,8.035,8.789,3.014,0.373,0.008,No Data Reported,153.004,10.755,0.127,9.153,173.039,176.434,13.483,Not Available,13.483,197.766,12.449,0.156,3.914,12.936,13.004,25.94,240.224
2001 January,0.803,2.989,31.425,35.216,0.063,0.702,0.037,No Data Reported,5.684,2.006,0.033,7.722,8.525,2.423,0.404,0.008,No Data Reported,127.304,11.505,0.261,9.15,148.221,151.056,14.203,0.092,14.294,192.312,12.703,0.067,4.022,11.569,17.303,28.872,237.976
2001 February,0.725,3.222,28.384,32.33,0.062,0.634,0.04,No Data Reported,5.125,1.872,0.027,7.024,7.76,2.432,0.365,0.009,No Data Reported,112.969,9.636,0.211,8.318,131.134,133.94,11.464,0.064,11.528,178.054,11.088,0.13,4.456,9.491,15.702,25.193,218.921
2001 March,0.803,4.439,31.425,36.666,0.067,0.702,0.056,No Data Reported,5.691,1.928,0.029,7.647,8.472,3.493,0.404,0.012,No Data Reported,120.59,10.827,0.225,8.96,140.603,144.512,12.232,0.104,12.336,208.031,12.297,0.325,5.498,10.434,17.563,27.997,254.148
2001 April,0.777,4.893,30.411,36.08,0.075,0.68,0.061,No Data Reported,5.462,1.955,0.024,7.441,8.257,2.924,0.391,0.014,No Data Reported,118.698,11.018,0.187,8.259,138.161,141.49,10.159,0.081,10.24,183.129,11.315,0.4,7.075,9.402,17.144,26.546,228.466
2001 May,0.803,5.401,31.425,37.629,0.072,0.702,0.068,No Data Reported,5.667,2.022,0.025,7.713,8.556,3.032,0.404,0.015,No Data Reported,114.282,10.195,0.197,8.548,133.223,136.674,10.713,0.092,10.806,195.037,11.071,0.838,6.562,10.083,17.612,27.695,241.202
2001 June,0.777,5.45,30.411,36.638,0.072,0.68,0.068,No Data Reported,5.493,2.147,0.019,7.658,8.478,3.007,0.391,0.015,No Data Reported,116.261,9.912,0.146,8.474,134.793,138.207,7.958,0.095,8.053,211.099,11.241,0.942,6.919,11.607,18.076,29.683,259.884
2001 July,0.803,5.721,31.425,37.948,0.055,0.702,0.072,No Data Reported,5.678,2.272,0.033,7.982,8.812,2.498,0.404,0.016,No Data Reported,120.904,10.275,0.259,8.889,140.327,143.245,14.067,0.151,14.218,184.258,12.178,0.951,6.561,11.414,18.851,30.265,234.213
2001 August,0.803,5.662,31.425,37.889,0.046,0.702,0.071,No Data Reported,5.673,2.265,0.023,7.96,8.78,3.269,0.404,0.016,No Data Reported,124.827,10.141,0.177,8.999,144.145,147.835,9.65,0.09,9.739,192.12,12.061,0.881,5.964,11.432,18.851,30.283,241.31
2001 September,0.777,5.164,30.411,36.352,0.039,0.68,0.065,No Data Reported,5.486,2.096,0.026,7.608,8.391,2.509,0.391,0.014,No Data Reported,117.453,10.014,0.205,8.884,136.555,139.47,11.128,0.13,11.258,155.092,11.769,0.67,5.066,10.316,17.445,27.761,200.357
2001 October,0.803,4.706,31.425,36.934,0.039,0.702,0.059,No Data Reported,5.663,1.97,0.035,7.668,8.468,2.131,0.404,0.013,No Data Reported,127.141,11.01,0.275,9.582,148.009,150.558,14.974,0.147,15.121,155.248,12.004,0.215,6.27,9.952,17.501,27.453,201.19
2001 November,0.777,3.861,30.411,35.048,0.041,0.68,0.048,No Data Reported,5.483,1.839,0.028,7.351,8.12,2.042,0.391,0.011,No Data Reported,120.21,12.044,0.222,9.713,142.188,144.632,12.069,0.174,12.243,157.179,11.957,0.148,4.861,9.901,16.924,26.825,200.97
2001 December,0.803,3.665,31.425,35.892,0.055,0.702,0.046,No Data Reported,5.686,2.172,0.028,7.886,8.69,2.739,0.404,0.01,No Data Reported,122.004,12.019,0.224,9.821,144.068,147.221,12.205,0.091,12.296,197.112,12.299,0.042,6.362,10.801,17.764,28.565,244.379
2002 January,0.867,2.887,32.274,36.028,0.007,0.743,0.044,No Data Reported,5.847,1.858,0.035,7.739,8.533,3.01,0.407,0.01,No Data Reported,118.659,12.782,0.238,10.692,142.371,145.797,12.657,0.168,12.825,218.703,13.098,0.115,8.254,12.587,19.055,31.642,271.812
2002 February,0.783,3.112,29.151,33.046,0.012,0.671,0.047,No Data Reported,5.266,1.687,0.033,6.986,7.717,2.836,0.367,0.01,No Data Reported,104.031,11.306,0.224,8.752,124.314,127.527,11.941,0.235,12.176,202.562,11.518,0.24,7.263,10.01,16.734,26.744,248.327
2002 March,0.867,4.288,32.274,37.429,0.011,0.743,0.065,No Data Reported,5.834,1.913,0.028,7.775,8.594,2.808,0.407,0.014,No Data Reported,108.38,12.991,0.195,10.128,131.693,134.922,10.366,0.321,10.686,210.904,12.665,0.452,8.668,13.156,19.016,32.172,264.862
2002 April,0.839,4.726,31.233,36.798,0.008,0.719,0.072,No Data Reported,5.646,1.975,0.034,7.654,8.453,3.221,0.393,0.016,No Data Reported,110.12,11.791,0.232,9.668,131.811,135.441,12.359,0.137,12.496,243.432,11.34,0.467,10.421,11.337,17.835,29.172,294.833
2002 May,0.867,5.217,32.274,38.358,0.009,0.743,0.079,No Data Reported,5.811,2.285,0.036,8.132,8.964,2.917,0.407,0.018,No Data Reported,118.53,11.821,0.247,10.227,140.825,144.166,13.16,0.168,13.328,268.313,12.369,0.586,10.963,11.398,18.798,30.196,322.428
2002 June,0.839,5.264,31.233,37.336,0.012,0.719,0.08,No Data Reported,5.628,2.307,0.033,7.967,8.779,2.589,0.393,0.018,No Data Reported,110.709,11.54,0.224,9.456,131.93,134.93,11.958,0.177,12.135,284.408,11.707,0.972,11.458,11.756,19.518,31.274,339.818
2002 July,0.867,5.526,32.274,38.667,0.013,0.743,0.084,No Data Reported,5.866,2.491,0.038,8.395,9.235,2.78,0.407,0.019,No Data Reported,125.42,11.897,0.261,10.133,147.711,150.916,13.924,0.207,14.131,256.32,12.841,0.87,9.059,12.874,20.876,33.75,312.839
2002 August,0.867,5.469,32.274,38.61,0.012,0.743,0.083,No Data Reported,5.854,2.551,0.038,8.443,9.281,2.817,0.407,0.018,No Data Reported,112.156,12.003,0.259,10.727,135.146,138.389,13.829,0.127,13.956,211.658,12.483,0.762,9.936,13.272,20.871,34.143,268.982
2002 September,0.839,4.988,31.233,37.06,0.01,0.719,0.076,No Data Reported,5.646,2.353,0.038,8.037,8.843,2.512,0.393,0.017,No Data Reported,120.524,11.548,0.26,11.082,143.414,146.336,13.859,0.127,13.987,171.301,12.158,0.535,7.486,13.808,19.492,33.3,224.78
2002 October,0.867,4.546,32.274,37.687,0.01,0.743,0.069,No Data Reported,5.816,2.306,0.046,8.167,8.99,3.485,0.407,0.015,No Data Reported,129.523,12.364,0.313,12.606,154.805,158.713,16.657,0.135,16.792,171.188,12.564,0.315,7.471,12.703,18.932,31.635,223.174
2002 November,0.839,3.729,31.233,35.801,0.013,0.719,0.056,No Data Reported,5.622,2.244,0.052,7.918,8.706,4.549,0.393,0.013,No Data Reported,116.471,12.968,0.356,12.672,142.467,147.422,18.983,0.144,19.127,196.152,12.099,0.287,6.673,13.166,18.622,31.788,247
2002 December,0.867,3.54,32.274,36.68,0.013,0.743,0.054,No Data Reported,5.824,1.907,0.049,7.78,8.59,5.384,0.407,0.012,No Data Reported,121.91,13.332,0.336,13.912,149.49,155.292,17.896,0.141,18.038,215.037,12.578,0.044,7.683,14.125,20.031,34.156,269.497
2003 January,1.104,2.807,33.973,37.884,0.059,0.934,0.051,No Data Reported,6.079,2.456,0.059,8.594,9.637,3.6,0.289,0.011,No Data Reported,113.792,12.733,0.319,13.831,140.674,144.574,16.332,0.182,16.514,204.917,12.734,0.134,6.402,15.72,19.243,34.963,259.15
2003 February,0.997,3.026,30.685,34.708,0.055,0.844,0.055,No Data Reported,5.486,2.116,0.07,7.672,8.625,3.043,0.261,0.012,No Data Reported,104.245,11.553,0.379,11.911,128.089,131.404,19.43,0.103,19.533,197.174,11.445,0.181,7.547,13.302,16.838,30.14,246.485
2003 March,1.104,4.169,33.973,39.246,0.064,0.934,0.076,No Data Reported,6.061,2.404,0.059,8.524,9.598,3.704,0.289,0.017,No Data Reported,112.633,12.394,0.32,13.662,139.01,143.019,16.383,0.131,16.514,241.28,12.28,0.507,10.491,13.67,19.504,33.174,297.732
2003 April,1.068,4.595,32.877,38.54,0.065,0.904,0.083,No Data Reported,5.858,2.405,0.067,8.329,9.381,2.432,0.279,0.018,No Data Reported,111.776,12.188,0.361,13.546,137.871,140.602,18.505,0.108,18.613,248.187,11.81,0.611,11.064,12.303,18.742,31.045,302.717
2003 May,1.104,5.072,33.973,40.149,0.066,0.934,0.092,No Data Reported,6.05,2.526,0.067,8.643,9.736,3.907,0.289,0.02,No Data Reported,112.284,11.42,0.361,13.652,137.717,141.933,18.502,0.113,18.614,293.654,11.833,0.688,10.19,11.584,19.294,30.878,347.243
2003 June,1.068,5.118,32.877,39.063,0.067,0.904,0.093,No Data Reported,5.868,2.459,0.064,8.391,9.455,3.67,0.279,0.021,No Data Reported,110.785,11.118,0.344,13.687,135.935,139.905,17.634,0.115,17.749,285.699,12.381,0.918,10.602,13.106,19.338,32.444,342.044
2003 July,1.104,5.373,33.973,40.45,0.065,0.934,0.097,No Data Reported,6.074,2.582,0.065,8.721,9.817,3.689,0.289,0.022,No Data Reported,119.299,11.875,0.352,13.911,145.438,149.437,18.024,0.122,18.145,247.783,12.433,0.632,9.653,14.962,20.527,35.489,305.99
2003 August,1.104,5.317,33.973,40.394,0.061,0.934,0.096,No Data Reported,6.08,2.537,0.071,8.688,9.78,3.737,0.289,0.021,No Data Reported,116.178,11.864,0.386,14.062,142.49,146.537,19.769,0.162,19.931,228.794,12.347,0.628,8.256,15.541,20.156,35.697,285.722
2003 September,1.068,4.85,32.877,38.795,0.049,0.904,0.088,No Data Reported,5.871,2.305,0.063,8.239,9.281,3.36,0.279,0.019,No Data Reported,111.622,11.333,0.343,14.304,137.602,141.26,17.573,0.192,17.765,183.705,12.185,0.566,9.062,13.801,18.99,32.791,238.31
2003 October,1.104,4.42,33.973,39.497,0.055,0.934,0.08,No Data Reported,6.064,2.376,0.072,8.512,9.582,3.341,0.289,0.018,No Data Reported,115.275,12.03,0.39,14.666,142.361,146.009,19.976,0.124,20.1,183.192,12.104,0.359,9.084,13.763,18.42,32.183,236.921
2003 November,1.068,3.626,32.877,37.571,0.06,0.904,0.066,No Data Reported,5.872,2.266,0.081,8.219,9.248,3.508,0.279,0.015,No Data Reported,113.224,11.666,0.439,14.608,139.937,143.739,22.495,0.254,22.749,196.049,11.656,0.142,9.735,14.334,18.566,32.9,250.483
2003 December,1.104,3.441,33.973,38.518,0.066,0.934,0.062,No Data Reported,6.073,2.594,0.085,8.752,9.815,4.761,0.289,0.014,No Data Reported,122.2,12.265,0.458,16.16,151.084,156.147,23.464,0.118,23.582,238.621,12.837,0.043,11.187,15.201,20.263,35.464,298.153
2004 January,1.186,2.77,34.727,38.682,0.05,1.016,0.062,No Data Reported,5.994,2.788,0.061,8.843,9.972,3.283,0.322,0.014,No Data Reported,128.754,11.258,0.506,16.247,156.764,160.383,23.045,0.331,23.377,226.868,12.968,0.126,10.01,14.51,18.274,32.784,282.757
2004 February,1.109,2.986,32.486,36.581,0.085,0.951,0.067,No Data Reported,5.614,2.621,0.06,8.295,9.398,2.791,0.301,0.015,No Data Reported,117.029,10.862,0.496,15.265,143.651,146.758,22.588,0.34,22.928,206.595,12.161,0.109,10.232,13.534,17.648,31.182,260.279
2004 March,1.186,4.114,34.727,40.026,0.126,1.016,0.093,No Data Reported,5.958,2.736,0.06,8.754,9.988,2.735,0.322,0.02,No Data Reported,121.099,11.288,0.496,16.487,149.371,152.448,22.619,0.283,22.902,226.649,12.43,0.53,12.933,13.953,18.924,32.877,285.419
2004 April,1.148,4.534,33.607,39.288,0.125,0.984,0.102,No Data Reported,5.771,2.877,0.061,8.709,9.92,2.057,0.311,0.023,No Data Reported,124.813,10.944,0.509,16.182,152.448,154.839,23.191,0.321,23.512,207.031,11.632,0.57,12.969,11.767,18.37,30.137,262.34
2004 May,1.186,5.006,34.727,40.918,0.133,1.016,0.113,No Data Reported,5.912,2.974,0.063,8.949,10.211,1.96,0.322,0.025,No Data Reported,117.007,11.286,0.523,17.005,145.821,148.128,23.827,0.252,24.079,238.488,12.095,0.819,17.044,12.131,19.257,31.388,299.834
2004 June,1.148,5.051,33.607,39.805,0.107,0.984,0.114,No Data Reported,5.703,2.959,0.066,8.728,9.933,1.902,0.311,0.025,No Data Reported,120.129,10.831,0.552,16.487,147.999,150.237,25.171,0.239,25.41,250.918,12.267,0.88,13.994,12.305,18.705,31.01,309.07
2004 July,1.186,5.302,34.727,41.215,0.05,1.016,0.119,No Data Reported,5.903,3.004,0.061,8.967,10.152,2.01,0.322,0.026,No Data Reported,126.944,11.069,0.505,16.738,155.256,157.615,23.032,0.261,23.293,231.496,12.796,0.822,11.662,16.018,18.931,34.948,291.725
2004 August,1.186,5.247,34.727,41.16,0.04,1.016,0.118,No Data Reported,5.942,2.949,0.062,8.953,10.128,2.242,0.322,0.026,No Data Reported,124.177,11.089,0.518,17.303,153.088,155.677,23.624,0.238,23.862,213.984,12.592,0.73,10.524,14.68,19.079,33.759,271.588
2004 September,1.148,4.786,33.607,39.54,0.05,0.984,0.108,No Data Reported,5.754,2.797,0.063,8.614,9.755,3.143,0.311,0.024,No Data Reported,118.135,10.567,0.521,16.78,146.002,149.48,23.729,0.28,24.009,202.388,11.903,0.607,10.914,13.522,18.099,31.621,257.433
2004 October,1.186,4.362,34.727,40.274,0.074,1.016,0.098,No Data Reported,5.983,2.713,0.066,8.761,9.95,2.915,0.322,0.022,No Data Reported,125.56,10.96,0.547,17.377,154.445,157.703,24.927,0.306,25.233,185.94,12.784,0.336,10.305,13.412,18.184,31.596,240.961
2004 November,1.148,3.578,33.607,38.332,0.087,0.984,0.08,No Data Reported,5.81,2.856,0.064,8.73,9.881,3.483,0.311,0.018,No Data Reported,120.565,10.722,0.536,17.226,149.048,152.861,24.399,0.283,24.682,206.136,12.14,0.154,9.337,13.68,18.438,32.118,259.883
2004 December,1.186,3.396,34.727,39.309,0.124,1.016,0.076,No Data Reported,5.984,2.962,0.069,9.015,10.232,4.016,0.322,0.017,No Data Reported,131.524,11.053,0.574,17.928,161.079,165.434,26.139,0.291,26.43,258.387,12.58,0.078,11.739,15.679,18.968,34.646,317.43
2005 January,1.35,2.718,36.521,40.589,0.111,1.155,0.093,No Data Reported,5.945,2.876,0.07,8.891,10.251,3.388,0.365,0.021,No Data Reported,127.135,12.82,0.546,18.242,158.743,162.517,26.134,1.022,27.156,239.198,12.52,0.087,11.315,15.951,18.358,34.309,297.429
2005 February,1.22,2.93,32.986,37.136,0.109,1.043,0.101,No Data Reported,5.468,2.616,0.061,8.145,9.398,2.646,0.33,0.022,No Data Reported,122.158,11.384,0.477,16.74,150.76,153.758,22.841,1.027,23.867,213.292,10.629,0.131,9.664,15.149,16.133,31.283,264.998
2005 March,1.35,4.036,36.521,41.907,0.082,1.155,0.139,No Data Reported,5.938,2.885,0.067,8.89,10.266,2.954,0.365,0.031,No Data Reported,122.08,12.628,0.523,18.41,153.642,156.992,25.046,0.919,25.965,226.301,12.041,0.382,15.605,16.045,18.436,34.481,288.81
2005 April,1.307,4.449,35.342,41.098,0.123,1.118,0.153,No Data Reported,5.719,2.668,0.063,8.45,9.844,2.749,0.353,0.034,No Data Reported,117.803,12.14,0.493,17.445,147.882,151.017,23.583,0.953,24.536,227.689,11.87,0.583,16.973,12.713,17.4,30.113,287.228
2005 May,1.35,4.911,36.521,42.782,0.127,1.155,0.169,No Data Reported,5.947,2.958,0.069,8.974,10.425,2.624,0.365,0.037,No Data Reported,119.992,12.606,0.539,17.988,151.125,154.151,25.816,0.971,26.787,270.008,12.642,0.811,17.463,14.158,19.122,33.279,334.203
2005 June,1.307,4.955,35.342,41.605,0.069,1.118,0.17,No Data Reported,5.734,3.056,0.075,8.865,10.222,2.96,0.353,0.038,No Data Reported,117.153,12.253,0.581,18.246,148.233,151.584,27.815,1.013,28.828,264.774,12.479,0.885,17.967,14.99,18.856,33.846,329.952
2005 July,1.35,5.202,36.521,43.073,0.034,1.155,0.179,No Data Reported,5.92,3.097,0.075,9.093,10.461,2.913,0.365,0.04,No Data Reported,123.168,12.568,0.583,19.576,155.895,159.213,27.889,0.903,28.792,256.595,12.726,0.723,14.208,17.093,19.635,36.728,320.98
2005 August,1.35,5.148,36.521,43.019,0.011,1.155,0.177,No Data Reported,5.945,2.938,0.08,8.963,10.305,2.216,0.365,0.039,No Data Reported,123.183,12.551,0.622,19.681,156.036,158.657,29.746,1.088,30.835,213.408,12.537,0.758,11.379,17.147,19.229,36.376,274.459
2005 September,1.307,4.695,35.342,41.345,0.024,1.118,0.161,No Data Reported,5.745,2.831,0.073,8.649,9.952,2.181,0.353,0.036,No Data Reported,117.868,12.633,0.565,19.17,150.236,152.806,27.049,0.947,27.996,171.415,12.225,0.611,14.682,15.546,18.067,33.612,232.545
2005 October,1.35,4.279,36.521,42.15,0.044,1.155,0.147,No Data Reported,5.931,2.62,0.08,8.63,9.976,2.207,0.365,0.033,No Data Reported,121.426,12.184,0.62,20.377,154.607,157.212,29.651,0.808,30.459,177.795,12.471,0.377,14.46,14.689,17.483,32.171,237.274
2005 November,1.307,3.51,35.342,40.16,0.058,1.118,0.121,No Data Reported,5.743,2.816,0.08,8.639,9.936,2.224,0.353,0.027,No Data Reported,117.1,12.009,0.625,20.191,149.924,152.529,29.915,1.02,30.936,191.225,12.195,0.128,16.095,15.024,18.711,33.735,253.377
2005 December,1.35,3.332,36.521,41.203,0.068,1.155,0.114,No Data Reported,5.96,2.888,0.086,8.933,10.271,2.889,0.365,0.025,No Data Reported,122.664,12.473,0.668,21.21,157.014,160.294,31.942,0.918,32.86,218.432,12.568,0.028,18.276,16.468,19.293,35.761,285.065
2006 January,1.554,2.844,32.274,36.672,0.128,1.189,0.135,No Data Reported,5.532,3.172,0.082,8.786,10.238,3.538,0.374,0.03,No Data Reported,133.346,11.466,0.632,21.529,166.972,170.914,28.874,1.645,30.519,268.478,12.196,0.128,23.633,16.522,20.148,36.67,341.106
2006 February,1.404,3.066,29.151,33.62,0.111,1.074,0.146,No Data Reported,4.998,2.923,0.076,7.996,9.326,2.79,0.338,0.032,No Data Reported,115.318,10.193,0.586,20.389,146.487,149.646,26.752,1.152,27.904,242.711,11.018,0.194,19.064,15.445,18.061,33.507,306.493
2006 March,1.554,4.224,32.274,38.053,0.12,1.189,0.2,No Data Reported,5.531,2.682,0.085,8.298,9.807,2.088,0.374,0.044,No Data Reported,121.681,10.868,0.657,22.491,155.697,158.203,30.018,2.124,32.142,242.044,12.511,0.331,23.395,16.013,19.19,35.203,313.484
2006 April,1.504,4.656,31.233,37.393,0.092,1.151,0.221,No Data Reported,5.346,2.936,0.088,8.37,9.833,1.84,0.362,0.049,No Data Reported,117.896,10.469,0.682,20.879,149.926,152.176,31.151,2.07,33.221,281.313,11.199,0.517,24.517,12.062,17.453,29.514,347.06
2006 May,1.554,5.14,32.274,38.968,0.091,1.189,0.244,No Data Reported,5.521,3.4,0.105,9.026,10.55,1.801,0.374,0.054,No Data Reported,119.977,11.101,0.814,21.908,153.8,156.029,37.2,2.965,40.164,303.796,10.867,0.702,24.388,13.36,19.226,32.587,372.339
2006 June,1.504,5.186,31.233,37.923,0.095,1.151,0.246,No Data Reported,5.345,3.05,0.117,8.512,10.003,1.752,0.362,0.055,No Data Reported,118.931,10.282,0.902,22.985,153.1,155.268,41.2,3.796,44.996,293.316,11.895,0.691,20.351,14.836,18.963,33.799,360.053
2006 July,1.554,5.444,32.274,39.272,0.033,1.189,0.258,No Data Reported,5.527,3.041,0.109,8.677,10.158,2.177,0.374,0.057,No Data Reported,126.547,10.909,0.844,23.606,161.906,164.514,38.574,2.717,41.291,250.122,12.511,0.612,19.392,15.886,20.168,36.055,318.692
2006 August,1.554,5.388,32.274,39.216,0.002,1.189,0.256,No Data Reported,5.536,3.047,0.114,8.697,10.144,1.81,0.374,0.057,No Data Reported,124.91,10.83,0.882,24.685,161.308,163.548,40.31,3.559,43.869,213.712,12.785,0.823,16.418,16.676,19.917,36.593,280.331
2006 September,1.504,4.914,31.233,37.651,0.027,1.151,0.233,No Data Reported,5.352,2.889,0.113,8.353,9.764,2.006,0.362,0.052,No Data Reported,121.235,10.41,0.871,24.325,156.841,159.261,39.816,3.338,43.154,168.588,12.096,0.536,18.639,15.295,19.02,34.315,234.173
2006 October,1.554,4.479,32.274,38.307,0.03,1.189,0.213,No Data Reported,5.53,2.984,0.12,8.635,10.067,2.763,0.374,0.047,No Data Reported,124.735,10.952,0.93,25.342,161.959,165.142,42.503,3.182,45.685,166.377,12.649,0.32,24.223,14.916,18.99,33.906,237.476
2006 November,1.504,3.674,31.233,36.411,0.101,1.151,0.174,No Data Reported,5.353,3.037,0.118,8.509,9.934,3.553,0.362,0.039,No Data Reported,121.281,10.824,0.912,25.171,158.188,162.141,41.661,3.087,44.748,197.422,11.977,0.156,25.199,14.873,19.698,34.572,269.324
2006 December,1.554,3.487,32.274,37.315,0.098,1.189,0.166,No Data Reported,5.534,3.149,0.124,8.807,10.259,2.638,0.374,0.037,No Data Reported,126.541,11.28,0.955,27.037,165.813,168.861,43.644,3.658,47.302,211.475,12.796,0.027,24.517,15.93,19.833,35.763,284.577
2007 January,1.868,2.982,35.671,40.522,0.108,1.223,0.19,No Data Reported,5.975,2.622,0.154,8.75,10.271,1.783,0.399,0.042,No Data Reported,121.366,14.391,0.768,27.612,164.137,166.361,43.478,4.457,47.935,255.535,12.806,0.127,24.239,19.443,19.75,39.193,331.899
2007 February,1.688,3.215,32.219,37.121,0.084,1.105,0.205,No Data Reported,5.388,2.235,0.14,7.764,9.157,1.365,0.361,0.045,No Data Reported,110.343,13.152,0.702,25.643,149.84,151.612,39.722,2.883,42.605,182.063,11.095,0.19,24.906,14.943,17.279,32.222,250.475
2007 March,1.868,4.429,35.671,41.969,0.109,1.223,0.282,No Data Reported,5.962,2.587,0.154,8.703,10.317,1.81,0.399,0.062,No Data Reported,117.994,14.563,0.771,28.26,161.587,163.859,43.6,3.16,46.76,236.913,11.902,0.479,30.117,15.013,19.7,34.713,314.124
2007 April,1.808,4.881,34.521,41.21,0.111,1.184,0.311,No Data Reported,5.746,2.524,0.146,8.415,10.021,1.828,0.386,0.069,No Data Reported,118.14,11.711,0.731,27.842,158.425,160.708,41.369,1.74,43.109,234.195,11.445,0.538,31.349,15.063,18.106,33.17,310.698
2007 May,1.868,5.389,35.671,42.929,0.118,1.223,0.343,No Data Reported,5.897,2.656,0.157,8.711,10.395,1.657,0.399,0.076,No Data Reported,118.094,11.318,0.785,29.889,160.086,162.218,44.412,2.739,47.151,255.673,11.413,0.832,29.181,13.89,19.854,33.744,330.844
